Phrase,Sentiment,Tokens,Lemmatized_Tokens,Lemmatized_Phrase,Stemmed_Tokens,Stemmed_Phrase
and those baby owls were adorable  ,1,"['baby', 'owls', 'adorable']","['baby', 'owl', 'adorable']",and those baby owl were adorable,"['babi', 'owl', 'ador']",and those babi owl were ador
the movie showed a lot of florida at its best made it look very appealing  ,1,"['movie', 'showed', 'lot', 'florida', 'best', 'made', 'look', 'appealing']","['movie', 'showed', 'lot', 'florida', 'best', 'made', 'look', 'appealing']",the movie showed a lot of florida at it best made it look very appealing,"['movi', 'show', 'lot', 'florida', 'best', 'made', 'look', 'appeal']",the movi show a lot of florida at it best made it look veri appeal
the songs were the best and the muppets were so hilarious  ,1,"['songs', 'best', 'muppets', 'hilarious']","['song', 'best', 'muppets', 'hilarious']",the song were the best and the muppets were so hilarious,"['song', 'best', 'muppet', 'hilari']",the song were the best and the muppet were so hilari
it was so cool  ,1,['cool'],['cool'],it wa so cool,['cool'],it wa so cool
this is a very right on case movie that delivers everything almost right in your face  ,1,"['right', 'case', 'movie', 'delivers', 'everything', 'almost', 'right', 'face']","['right', 'case', 'movie', 'delivers', 'everything', 'almost', 'right', 'face']",this is a very right on case movie that delivers everything almost right in your face,"['right', 'case', 'movi', 'deliv', 'everyth', 'almost', 'right', 'face']",thi is a veri right on case movi that deliv everyth almost right in your face
it had some average acting from the main person and it was a low budget as you clearly can see  ,0,"['average', 'acting', 'main', 'person', 'low', 'budget', 'clearly', 'see']","['average', 'acting', 'main', 'person', 'low', 'budget', 'clearly', 'see']",it had some average acting from the main person and it wa a low budget a you clearly can see,"['averag', 'act', 'main', 'person', 'low', 'budget', 'clearli', 'see']",it had some averag act from the main person and it wa a low budget as you clearli can see
this review is long overdue since i consider a tale of two sisters to be the single greatest film ever made  ,1,"['review', 'long', 'overdue', 'since', 'consider', 'tale', 'two', 'sisters', 'single', 'greatest', 'film', 'ever', 'made']","['review', 'long', 'overdue', 'since', 'consider', 'tale', 'two', 'sister', 'single', 'greatest', 'film', 'ever', 'made']",this review is long overdue since i consider a tale of two sister to be the single greatest film ever made,"['review', 'long', 'overdu', 'sinc', 'consid', 'tale', 'two', 'sister', 'singl', 'greatest', 'film', 'ever', 'made']",thi review is long overdu sinc i consid a tale of two sister to be the singl greatest film ever made
ill put this gem up against any movie in terms of screenplay cinematography acting postproduction editing directing or any other aspect of filmmaking  ,1,"['ill', 'put', 'gem', 'movie', 'terms', 'screenplay', 'cinematography', 'acting', 'postproduction', 'editing', 'directing', 'aspect', 'filmmaking']","['ill', 'put', 'gem', 'movie', 'term', 'screenplay', 'cinematography', 'acting', 'postproduction', 'editing', 'directing', 'aspect', 'filmmaking']",ill put this gem up against any movie in term of screenplay cinematography acting postproduction editing directing or any other aspect of filmmaking,"['ill', 'put', 'gem', 'movi', 'term', 'screenplay', 'cinematographi', 'act', 'postproduct', 'edit', 'direct', 'aspect', 'filmmak']",ill put thi gem up against ani movi in term of screenplay cinematographi act postproduct edit direct or ani other aspect of filmmak
its practically perfect in all of them  a true masterpiece in a sea of faux masterpieces  ,1,"['practically', 'perfect', 'true', 'masterpiece', 'sea', 'faux', 'masterpieces']","['practically', 'perfect', 'true', 'masterpiece', 'sea', 'faux', 'masterpiece']",it practically perfect in all of them a true masterpiece in a sea of faux masterpiece,"['practic', 'perfect', 'true', 'masterpiec', 'sea', 'faux', 'masterpiec']",it practic perfect in all of them a true masterpiec in a sea of faux masterpiec
" the structure of this film is easily the most tightly constructed in the history of cinema  	
i can think of no other film where something vitally important occurs every other minute  	
in other words the content level of this film is enough to easily fill a dozen other films  	
how can anyone in their right mind ask for anything more from a movie than this  	
its quite simply the highest most superlative form of cinema imaginable  	
yes this film does require a rather significant amount of puzzlesolving but the pieces fit together to create a beautiful picture  	
this short film certainly pulls no punches  	
graphics is far from the best part of the game  	
this is the number one best th game in the series  	
it deserves strong love  	
it is an insane game  	
there are massive levels massive unlockable characters its just a massive game  	
waste your money on this game  	
this is the kind of money that is wasted properly  	
actually the graphics were good at the time  	
today the graphics are crap  	
as they say in canada this is the fun game aye  	
this game rocks  	
buy it play it enjoy it love it  	
its pure brilliance  	
this was a flick doomed from its conception  	
the very idea of it was lame  take a minor character from a mediocre pg film and make a complete nonsequel while changing its tone to a pgrated family movie  	
i wasnt the least bit interested  	
not only did it only confirm that the film would be unfunny and generic but it also managed to give away the entire movie and im not exaggerating  every moment every plot point every joke is told in the trailer  	
but its just not funny  	
but even the talented carrell cant save this  	
his costars dont fare much better with people like morgan freeman jonah hill and ed helms just wasted  	
the story itself is just predictable and lazy  	
the only real effects work is the presence of all the animals and the integration of those into the scenes is some of the worst and most obvious bluegreenscreen work ive ever seen  	
but whatever it was that cost them so much it didnt translate to quality thats for sure  	
the film succeeds despite or perhaps because of an obviously meagre budget  	
im glad the film didnt go for the most obvious choice as a lesser film certainly would have  	
in addition to having one of the most lovely songs ever written french cancan also boasts one of the cutest leading ladies ever to grace the screen  	
its hard not to fall headoverheels in love with that girl  	
on the negative its insipid enough to cause regret for another  hours of life wasted in front of the screen  	
long whiny and pointless  	
but i recommend waiting for their future efforts let this one go  	
excellent cast story line performances  	
totally believable  	
anne heche was utterly convincing  	
sam shepards portrayal of a gung ho marine was sobering  	
i sat riveted to the tv screen  	
all in all i give this one a resounding  out of   	
i do think tom hanks is a good actor  	
i enjoyed reading this book to my children when they were little  	
i was very disappointed in the movie  	
one character is totally annoying with a voice that gives me the feeling of fingernails on a chalkboard  	
there is a totally unnecessary trainroller coaster scene  	
there was absolutely no warmth or charm to these scenes or characters  	
this movie totally grates on my nerves  	
the performances are not improved by improvisation because the actors now have twice as much to worry about not only whether theyre delivering the line well but whether the line itself is any good  	
and quite honestly often its not very good  	
often the dialogue doesnt really follow from one line to another or fit the surroundings  	
it crackles with an unpredictable youthful energy  but honestly i found it hard to follow and concentrate on it meanders so badly  	
there are some generally great things in it  	
i wouldnt say theyre worth  hours of your time though  	
the suspense builders were good  just cross the line from g to pg  	
i especially liked the noncliche choices with the parents in other movies i could predict the dialog verbatim but the writing in this movie made better selections  	
if you want a movie thats not gross but gives you some chills this is a great choice  	
alexander nevsky is a great film  	
he is an amazing film artist one of the most important whoever lived  	
im glad this pretentious piece of s didnt do as planned by the dodge stratus big shots its gonna help movie makers who arent in the very restrained movie business of québec  ",0,"['structure', 'film', 'easily', 'tightly', 'constructed', 'history', 'cinema', 'think', 'film', 'something', 'vitally', 'important', 'occurs', 'every', 'minute', 'words', 'content', 'level', 'film', 'enough', 'easily', 'fill', 'dozen', 'films', 'anyone', 'right', 'mind', 'ask', 'anything', 'movie', 'quite', 'simply', 'highest', 'superlative', 'form', 'cinema', 'imaginable', 'yes', 'film', 'require', 'rather', 'significant', 'amount', 'puzzlesolving', 'pieces', 'fit', 'together', 'create', 'beautiful', 'picture', 'short', 'film', 'certainly', 'pulls', 'punches', 'graphics', 'far', 'best', 'part', 'game', 'number', 'one', 'best', 'th', 'game', 'series', 'deserves', 'strong', 'love', 'insane', 'game', 'massive', 'levels', 'massive', 'unlockable', 'characters', 'massive', 'game', 'waste', 'money', 'game', 'kind', 'money', 'wasted', 'properly', 'actually', 'graphics', 'good', 'time', 'today', 'graphics', 'crap', 'say', 'canada', 'fun', 'game', 'aye', 'game', 'rocks', 'buy', 'play', 'enjoy', 'love', 'pure', 'brilliance', 'flick', 'doomed', 'conception', 'idea', 'lame', 'take', 'minor', 'character', 'mediocre', 'pg', 'film', 'make', 'complete', 'nonsequel', 'changing', 'tone', 'pgrated', 'family', 'movie', 'wasnt', 'least', 'bit', 'interested', 'confirm', 'film', 'would', 'unfunny', 'generic', 'also', 'managed', 'give', 'away', 'entire', 'movie', 'im', 'exaggerating', 'every', 'moment', 'every', 'plot', 'point', 'every', 'joke', 'told', 'trailer', 'funny', 'even', 'talented', 'carrell', 'cant', 'save', 'costars', 'dont', 'fare', 'much', 'better', 'people', 'like', 'morgan', 'freeman', 'jonah', 'hill', 'ed', 'helms', 'wasted', 'story', 'predictable', 'lazy', 'real', 'effects', 'work', 'presence', 'animals', 'integration', 'scenes', 'worst', 'obvious', 'bluegreenscreen', 'work', 'ive', 'ever', 'seen', 'whatever', 'cost', 'much', 'didnt', 'translate', 'quality', 'thats', 'sure', 'film', 'succeeds', 'despite', 'perhaps', 'obviously', 'meagre', 'budget', 'im', 'glad', 'film', 'didnt', 'go', 'obvious', 'choice', 'lesser', 'film', 'certainly', 'would', 'addition', 'one', 'lovely', 'songs', 'ever', 'written', 'french', 'cancan', 'also', 'boasts', 'one', 'cutest', 'leading', 'ladies', 'ever', 'grace', 'screen', 'hard', 'fall', 'headoverheels', 'love', 'girl', 'negative', 'insipid', 'enough', 'cause', 'regret', 'another', 'hours', 'life', 'wasted', 'front', 'screen', 'long', 'whiny', 'pointless', 'recommend', 'waiting', 'future', 'efforts', 'let', 'one', 'go', 'excellent', 'cast', 'story', 'line', 'performances', 'totally', 'believable', 'anne', 'heche', 'utterly', 'convincing', 'sam', 'shepards', 'portrayal', 'gung', 'ho', 'marine', 'sobering', 'sat', 'riveted', 'tv', 'screen', 'give', 'one', 'resounding', 'think', 'tom', 'hanks', 'good', 'actor', 'enjoyed', 'reading', 'book', 'children', 'little', 'disappointed', 'movie', 'one', 'character', 'totally', 'annoying', 'voice', 'gives', 'feeling', 'fingernails', 'chalkboard', 'totally', 'unnecessary', 'trainroller', 'coaster', 'scene', 'absolutely', 'warmth', 'charm', 'scenes', 'characters', 'movie', 'totally', 'grates', 'nerves', 'performances', 'improved', 'improvisation', 'actors', 'twice', 'much', 'worry', 'whether', 'theyre', 'delivering', 'line', 'well', 'whether', 'line', 'good', 'quite', 'honestly', 'often', 'good', 'often', 'dialogue', 'doesnt', 'really', 'follow', 'one', 'line', 'another', 'fit', 'surroundings', 'crackles', 'unpredictable', 'youthful', 'energy', 'honestly', 'found', 'hard', 'follow', 'concentrate', 'meanders', 'badly', 'generally', 'great', 'things', 'wouldnt', 'say', 'theyre', 'worth', 'hours', 'time', 'though', 'suspense', 'builders', 'good', 'cross', 'line', 'g', 'pg', 'especially', 'liked', 'noncliche', 'choices', 'parents', 'movies', 'could', 'predict', 'dialog', 'verbatim', 'writing', 'movie', 'made', 'better', 'selections', 'want', 'movie', 'thats', 'gross', 'gives', 'chills', 'great', 'choice', 'alexander', 'nevsky', 'great', 'film', 'amazing', 'film', 'artist', 'one', 'important', 'whoever', 'lived', 'im', 'glad', 'pretentious', 'piece', 'didnt', 'planned', 'dodge', 'stratus', 'big', 'shots', 'gonna', 'help', 'movie', 'makers', 'arent', 'restrained', 'movie', 'business', 'québec']","['structure', 'film', 'easily', 'tightly', 'constructed', 'history', 'cinema', 'think', 'film', 'something', 'vitally', 'important', 'occurs', 'every', 'minute', 'word', 'content', 'level', 'film', 'enough', 'easily', 'fill', 'dozen', 'film', 'anyone', 'right', 'mind', 'ask', 'anything', 'movie', 'quite', 'simply', 'highest', 'superlative', 'form', 'cinema', 'imaginable', 'yes', 'film', 'require', 'rather', 'significant', 'amount', 'puzzlesolving', 'piece', 'fit', 'together', 'create', 'beautiful', 'picture', 'short', 'film', 'certainly', 'pull', 'punch', 'graphic', 'far', 'best', 'part', 'game', 'number', 'one', 'best', 'th', 'game', 'series', 'deserves', 'strong', 'love', 'insane', 'game', 'massive', 'level', 'massive', 'unlockable', 'character', 'massive', 'game', 'waste', 'money', 'game', 'kind', 'money', 'wasted', 'properly', 'actually', 'graphic', 'good', 'time', 'today', 'graphic', 'crap', 'say', 'canada', 'fun', 'game', 'aye', 'game', 'rock', 'buy', 'play', 'enjoy', 'love', 'pure', 'brilliance', 'flick', 'doomed', 'conception', 'idea', 'lame', 'take', 'minor', 'character', 'mediocre', 'pg', 'film', 'make', 'complete', 'nonsequel', 'changing', 'tone', 'pgrated', 'family', 'movie', 'wasnt', 'least', 'bit', 'interested', 'confirm', 'film', 'would', 'unfunny', 'generic', 'also', 'managed', 'give', 'away', 'entire', 'movie', 'im', 'exaggerating', 'every', 'moment', 'every', 'plot', 'point', 'every', 'joke', 'told', 'trailer', 'funny', 'even', 'talented', 'carrell', 'cant', 'save', 'costars', 'dont', 'fare', 'much', 'better', 'people', 'like', 'morgan', 'freeman', 'jonah', 'hill', 'ed', 'helm', 'wasted', 'story', 'predictable', 'lazy', 'real', 'effect', 'work', 'presence', 'animal', 'integration', 'scene', 'worst', 'obvious', 'bluegreenscreen', 'work', 'ive', 'ever', 'seen', 'whatever', 'cost', 'much', 'didnt', 'translate', 'quality', 'thats', 'sure', 'film', 'succeeds', 'despite', 'perhaps', 'obviously', 'meagre', 'budget', 'im', 'glad', 'film', 'didnt', 'go', 'obvious', 'choice', 'lesser', 'film', 'certainly', 'would', 'addition', 'one', 'lovely', 'song', 'ever', 'written', 'french', 'cancan', 'also', 'boast', 'one', 'cutest', 'leading', 'lady', 'ever', 'grace', 'screen', 'hard', 'fall', 'headoverheels', 'love', 'girl', 'negative', 'insipid', 'enough', 'cause', 'regret', 'another', 'hour', 'life', 'wasted', 'front', 'screen', 'long', 'whiny', 'pointless', 'recommend', 'waiting', 'future', 'effort', 'let', 'one', 'go', 'excellent', 'cast', 'story', 'line', 'performance', 'totally', 'believable', 'anne', 'heche', 'utterly', 'convincing', 'sam', 'shepard', 'portrayal', 'gung', 'ho', 'marine', 'sobering', 'sat', 'riveted', 'tv', 'screen', 'give', 'one', 'resounding', 'think', 'tom', 'hank', 'good', 'actor', 'enjoyed', 'reading', 'book', 'child', 'little', 'disappointed', 'movie', 'one', 'character', 'totally', 'annoying', 'voice', 'give', 'feeling', 'fingernail', 'chalkboard', 'totally', 'unnecessary', 'trainroller', 'coaster', 'scene', 'absolutely', 'warmth', 'charm', 'scene', 'character', 'movie', 'totally', 'grate', 'nerve', 'performance', 'improved', 'improvisation', 'actor', 'twice', 'much', 'worry', 'whether', 'theyre', 'delivering', 'line', 'well', 'whether', 'line', 'good', 'quite', 'honestly', 'often', 'good', 'often', 'dialogue', 'doesnt', 'really', 'follow', 'one', 'line', 'another', 'fit', 'surroundings', 'crackle', 'unpredictable', 'youthful', 'energy', 'honestly', 'found', 'hard', 'follow', 'concentrate', 'meander', 'badly', 'generally', 'great', 'thing', 'wouldnt', 'say', 'theyre', 'worth', 'hour', 'time', 'though', 'suspense', 'builder', 'good', 'cross', 'line', 'g', 'pg', 'especially', 'liked', 'noncliche', 'choice', 'parent', 'movie', 'could', 'predict', 'dialog', 'verbatim', 'writing', 'movie', 'made', 'better', 'selection', 'want', 'movie', 'thats', 'gross', 'give', 'chill', 'great', 'choice', 'alexander', 'nevsky', 'great', 'film', 'amazing', 'film', 'artist', 'one', 'important', 'whoever', 'lived', 'im', 'glad', 'pretentious', 'piece', 'didnt', 'planned', 'dodge', 'stratus', 'big', 'shot', 'gonna', 'help', 'movie', 'maker', 'arent', 'restrained', 'movie', 'business', 'québec']",the structure of this film is easily the most tightly constructed in the history of cinema i can think of no other film where something vitally important occurs every other minute in other word the content level of this film is enough to easily fill a dozen other film how can anyone in their right mind ask for anything more from a movie than this it quite simply the highest most superlative form of cinema imaginable yes this film doe require a rather significant amount of puzzlesolving but the piece fit together to create a beautiful picture this short film certainly pull no punch graphic is far from the best part of the game this is the number one best th game in the series it deserves strong love it is an insane game there are massive level massive unlockable character it just a massive game waste your money on this game this is the kind of money that is wasted properly actually the graphic were good at the time today the graphic are crap a they say in canada this is the fun game aye this game rock buy it play it enjoy it love it it pure brilliance this wa a flick doomed from it conception the very idea of it wa lame take a minor character from a mediocre pg film and make a complete nonsequel while changing it tone to a pgrated family movie i wasnt the least bit interested not only did it only confirm that the film would be unfunny and generic but it also managed to give away the entire movie and im not exaggerating every moment every plot point every joke is told in the trailer but it just not funny but even the talented carrell cant save this his costars dont fare much better with people like morgan freeman jonah hill and ed helm just wasted the story itself is just predictable and lazy the only real effect work is the presence of all the animal and the integration of those into the scene is some of the worst and most obvious bluegreenscreen work ive ever seen but whatever it wa that cost them so much it didnt translate to quality thats for sure the film succeeds despite or perhaps because of an obviously meagre budget im glad the film didnt go for the most obvious choice a a lesser film certainly would have in addition to having one of the most lovely song ever written french cancan also boast one of the cutest leading lady ever to grace the screen it hard not to fall headoverheels in love with that girl on the negative it insipid enough to cause regret for another hour of life wasted in front of the screen long whiny and pointless but i recommend waiting for their future effort let this one go excellent cast story line performance totally believable anne heche wa utterly convincing sam shepard portrayal of a gung ho marine wa sobering i sat riveted to the tv screen all in all i give this one a resounding out of i do think tom hank is a good actor i enjoyed reading this book to my child when they were little i wa very disappointed in the movie one character is totally annoying with a voice that give me the feeling of fingernail on a chalkboard there is a totally unnecessary trainroller coaster scene there wa absolutely no warmth or charm to these scene or character this movie totally grate on my nerve the performance are not improved by improvisation because the actor now have twice a much to worry about not only whether theyre delivering the line well but whether the line itself is any good and quite honestly often it not very good often the dialogue doesnt really follow from one line to another or fit the surroundings it crackle with an unpredictable youthful energy but honestly i found it hard to follow and concentrate on it meander so badly there are some generally great thing in it i wouldnt say theyre worth hour of your time though the suspense builder were good just cross the line from g to pg i especially liked the noncliche choice with the parent in other movie i could predict the dialog verbatim but the writing in this movie made better selection if you want a movie thats not gross but give you some chill this is a great choice alexander nevsky is a great film he is an amazing film artist one of the most important whoever lived im glad this pretentious piece of s didnt do a planned by the dodge stratus big shot it gon na help movie maker who arent in the very restrained movie business of québec,"['structur', 'film', 'easili', 'tightli', 'construct', 'histori', 'cinema', 'think', 'film', 'someth', 'vital', 'import', 'occur', 'everi', 'minut', 'word', 'content', 'level', 'film', 'enough', 'easili', 'fill', 'dozen', 'film', 'anyon', 'right', 'mind', 'ask', 'anyth', 'movi', 'quit', 'simpli', 'highest', 'superl', 'form', 'cinema', 'imagin', 'ye', 'film', 'requir', 'rather', 'signific', 'amount', 'puzzlesolv', 'piec', 'fit', 'togeth', 'creat', 'beauti', 'pictur', 'short', 'film', 'certainli', 'pull', 'punch', 'graphic', 'far', 'best', 'part', 'game', 'number', 'one', 'best', 'th', 'game', 'seri', 'deserv', 'strong', 'love', 'insan', 'game', 'massiv', 'level', 'massiv', 'unlock', 'charact', 'massiv', 'game', 'wast', 'money', 'game', 'kind', 'money', 'wast', 'properli', 'actual', 'graphic', 'good', 'time', 'today', 'graphic', 'crap', 'say', 'canada', 'fun', 'game', 'aye', 'game', 'rock', 'buy', 'play', 'enjoy', 'love', 'pure', 'brillianc', 'flick', 'doom', 'concept', 'idea', 'lame', 'take', 'minor', 'charact', 'mediocr', 'pg', 'film', 'make', 'complet', 'nonsequel', 'chang', 'tone', 'pgrate', 'famili', 'movi', 'wasnt', 'least', 'bit', 'interest', 'confirm', 'film', 'would', 'unfunni', 'gener', 'also', 'manag', 'give', 'away', 'entir', 'movi', 'im', 'exagger', 'everi', 'moment', 'everi', 'plot', 'point', 'everi', 'joke', 'told', 'trailer', 'funni', 'even', 'talent', 'carrel', 'cant', 'save', 'costar', 'dont', 'fare', 'much', 'better', 'peopl', 'like', 'morgan', 'freeman', 'jonah', 'hill', 'ed', 'helm', 'wast', 'stori', 'predict', 'lazi', 'real', 'effect', 'work', 'presenc', 'anim', 'integr', 'scene', 'worst', 'obviou', 'bluegreenscreen', 'work', 'ive', 'ever', 'seen', 'whatev', 'cost', 'much', 'didnt', 'translat', 'qualiti', 'that', 'sure', 'film', 'succe', 'despit', 'perhap', 'obvious', 'meagr', 'budget', 'im', 'glad', 'film', 'didnt', 'go', 'obviou', 'choic', 'lesser', 'film', 'certainli', 'would', 'addit', 'one', 'love', 'song', 'ever', 'written', 'french', 'cancan', 'also', 'boast', 'one', 'cutest', 'lead', 'ladi', 'ever', 'grace', 'screen', 'hard', 'fall', 'headoverheel', 'love', 'girl', 'neg', 'insipid', 'enough', 'caus', 'regret', 'anoth', 'hour', 'life', 'wast', 'front', 'screen', 'long', 'whini', 'pointless', 'recommend', 'wait', 'futur', 'effort', 'let', 'one', 'go', 'excel', 'cast', 'stori', 'line', 'perform', 'total', 'believ', 'ann', 'hech', 'utterli', 'convinc', 'sam', 'shepard', 'portray', 'gung', 'ho', 'marin', 'sober', 'sat', 'rivet', 'tv', 'screen', 'give', 'one', 'resound', 'think', 'tom', 'hank', 'good', 'actor', 'enjoy', 'read', 'book', 'children', 'littl', 'disappoint', 'movi', 'one', 'charact', 'total', 'annoy', 'voic', 'give', 'feel', 'fingernail', 'chalkboard', 'total', 'unnecessari', 'trainrol', 'coaster', 'scene', 'absolut', 'warmth', 'charm', 'scene', 'charact', 'movi', 'total', 'grate', 'nerv', 'perform', 'improv', 'improvis', 'actor', 'twice', 'much', 'worri', 'whether', 'theyr', 'deliv', 'line', 'well', 'whether', 'line', 'good', 'quit', 'honestli', 'often', 'good', 'often', 'dialogu', 'doesnt', 'realli', 'follow', 'one', 'line', 'anoth', 'fit', 'surround', 'crackl', 'unpredict', 'youth', 'energi', 'honestli', 'found', 'hard', 'follow', 'concentr', 'meander', 'badli', 'gener', 'great', 'thing', 'wouldnt', 'say', 'theyr', 'worth', 'hour', 'time', 'though', 'suspens', 'builder', 'good', 'cross', 'line', 'g', 'pg', 'especi', 'like', 'nonclich', 'choic', 'parent', 'movi', 'could', 'predict', 'dialog', 'verbatim', 'write', 'movi', 'made', 'better', 'select', 'want', 'movi', 'that', 'gross', 'give', 'chill', 'great', 'choic', 'alexand', 'nevski', 'great', 'film', 'amaz', 'film', 'artist', 'one', 'import', 'whoever', 'live', 'im', 'glad', 'pretenti', 'piec', 'didnt', 'plan', 'dodg', 'stratu', 'big', 'shot', 'gonna', 'help', 'movi', 'maker', 'arent', 'restrain', 'movi', 'busi', 'québec']",the structur of thi film is easili the most tightli construct in the histori of cinema i can think of no other film where someth vital import occur everi other minut in other word the content level of thi film is enough to easili fill a dozen other film how can anyon in their right mind ask for anyth more from a movi than thi it quit simpli the highest most superl form of cinema imagin ye thi film doe requir a rather signific amount of puzzlesolv but the piec fit togeth to creat a beauti pictur thi short film certainli pull no punch graphic is far from the best part of the game thi is the number one best th game in the seri it deserv strong love it is an insan game there are massiv level massiv unlock charact it just a massiv game wast your money on thi game thi is the kind of money that is wast properli actual the graphic were good at the time today the graphic are crap as they say in canada thi is the fun game aye thi game rock buy it play it enjoy it love it it pure brillianc thi wa a flick doom from it concept the veri idea of it wa lame take a minor charact from a mediocr pg film and make a complet nonsequel while chang it tone to a pgrate famili movi i wasnt the least bit interest not onli did it onli confirm that the film would be unfunni and gener but it also manag to give away the entir movi and im not exagger everi moment everi plot point everi joke is told in the trailer but it just not funni but even the talent carrel cant save thi hi costar dont fare much better with peopl like morgan freeman jonah hill and ed helm just wast the stori itself is just predict and lazi the onli real effect work is the presenc of all the anim and the integr of those into the scene is some of the worst and most obviou bluegreenscreen work ive ever seen but whatev it wa that cost them so much it didnt translat to qualiti that for sure the film succe despit or perhap becaus of an obvious meagr budget im glad the film didnt go for the most obviou choic as a lesser film certainli would have in addit to have one of the most love song ever written french cancan also boast one of the cutest lead ladi ever to grace the screen it hard not to fall headoverheel in love with that girl on the neg it insipid enough to caus regret for anoth hour of life wast in front of the screen long whini and pointless but i recommend wait for their futur effort let thi one go excel cast stori line perform total believ ann hech wa utterli convinc sam shepard portray of a gung ho marin wa sober i sat rivet to the tv screen all in all i give thi one a resound out of i do think tom hank is a good actor i enjoy read thi book to my children when they were littl i wa veri disappoint in the movi one charact is total annoy with a voic that give me the feel of fingernail on a chalkboard there is a total unnecessari trainrol coaster scene there wa absolut no warmth or charm to these scene or charact thi movi total grate on my nerv the perform are not improv by improvis becaus the actor now have twice as much to worri about not onli whether theyr deliv the line well but whether the line itself is ani good and quit honestli often it not veri good often the dialogu doesnt realli follow from one line to anoth or fit the surround it crackl with an unpredict youth energi but honestli i found it hard to follow and concentr on it meander so badli there are some gener great thing in it i wouldnt say theyr worth hour of your time though the suspens builder were good just cross the line from g to pg i especi like the nonclich choic with the parent in other movi i could predict the dialog verbatim but the write in thi movi made better select if you want a movi that not gross but give you some chill thi is a great choic alexand nevski is a great film he is an amaz film artist one of the most import whoever live im glad thi pretenti piec of s didnt do as plan by the dodg stratu big shot it gon na help movi maker who arent in the veri restrain movi busi of québec
this if the first movie ive given a  to in years  ,1,"['first', 'movie', 'ive', 'given', 'years']","['first', 'movie', 'ive', 'given', 'year']",this if the first movie ive given a to in year,"['first', 'movi', 'ive', 'given', 'year']",thi if the first movi ive given a to in year
if there was ever a movie that needed wordofmouth to promote this is it  ,1,"['ever', 'movie', 'needed', 'wordofmouth', 'promote']","['ever', 'movie', 'needed', 'wordofmouth', 'promote']",if there wa ever a movie that needed wordofmouth to promote this is it,"['ever', 'movi', 'need', 'wordofmouth', 'promot']",if there wa ever a movi that need wordofmouth to promot thi is it
overall the film is interesting and thoughtprovoking  ,1,"['overall', 'film', 'interesting', 'thoughtprovoking']","['overall', 'film', 'interesting', 'thoughtprovoking']",overall the film is interesting and thoughtprovoking,"['overal', 'film', 'interest', 'thoughtprovok']",overal the film is interest and thoughtprovok
plus it was wellpaced and suited its relatively short run time  ,1,"['plus', 'wellpaced', 'suited', 'relatively', 'short', 'run', 'time']","['plus', 'wellpaced', 'suited', 'relatively', 'short', 'run', 'time']",plus it wa wellpaced and suited it relatively short run time,"['plu', 'wellpac', 'suit', 'rel', 'short', 'run', 'time']",plu it wa wellpac and suit it rel short run time
give this one a look  ,1,"['give', 'one', 'look']","['give', 'one', 'look']",give this one a look,"['give', 'one', 'look']",give thi one a look
i gave it a   ,1,['gave'],['gave'],i gave it a,['gave'],i gave it a
the wind and the lion is well written and superbly acted  ,1,"['wind', 'lion', 'well', 'written', 'superbly', 'acted']","['wind', 'lion', 'well', 'written', 'superbly', 'acted']",the wind and the lion is well written and superbly acted,"['wind', 'lion', 'well', 'written', 'superbl', 'act']",the wind and the lion is well written and superbl act
it is a true classic  ,1,"['true', 'classic']","['true', 'classic']",it is a true classic,"['true', 'classic']",it is a true classic
it actually turned out to be pretty decent as far as blist horrorsuspense films go  ,1,"['actually', 'turned', 'pretty', 'decent', 'far', 'blist', 'horrorsuspense', 'films', 'go']","['actually', 'turned', 'pretty', 'decent', 'far', 'blist', 'horrorsuspense', 'film', 'go']",it actually turned out to be pretty decent a far a blist horrorsuspense film go,"['actual', 'turn', 'pretti', 'decent', 'far', 'blist', 'horrorsuspens', 'film', 'go']",it actual turn out to be pretti decent as far as blist horrorsuspens film go
definitely worth checking out  ,1,"['definitely', 'worth', 'checking']","['definitely', 'worth', 'checking']",definitely worth checking out,"['definit', 'worth', 'check']",definit worth check out
the problem was the script  ,0,"['problem', 'script']","['problem', 'script']",the problem wa the script,"['problem', 'script']",the problem wa the script
it was horrendous  ,0,['horrendous'],['horrendous'],it wa horrendous,['horrend'],it wa horrend
there was nothing believable about it at all  ,0,"['nothing', 'believable']","['nothing', 'believable']",there wa nothing believable about it at all,"['noth', 'believ']",there wa noth believ about it at all
the only suspense i was feeling was the frustration at just how retarded the girls were  ,0,"['suspense', 'feeling', 'frustration', 'retarded', 'girls']","['suspense', 'feeling', 'frustration', 'retarded', 'girl']",the only suspense i wa feeling wa the frustration at just how retarded the girl were,"['suspens', 'feel', 'frustrat', 'retard', 'girl']",the onli suspens i wa feel wa the frustrat at just how retard the girl were
manna from heaven is a terrific film that is both predictable and unpredictable at the same time  ,1,"['manna', 'heaven', 'terrific', 'film', 'predictable', 'unpredictable', 'time']","['manna', 'heaven', 'terrific', 'film', 'predictable', 'unpredictable', 'time']",manna from heaven is a terrific film that is both predictable and unpredictable at the same time,"['manna', 'heaven', 'terrif', 'film', 'predict', 'unpredict', 'time']",manna from heaven is a terrif film that is both predict and unpredict at the same time
